number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
65,0.0,2025-07-01 20:15:41.634818,2025-07-01 20:15:41.841564,0 days 00:00:00.206746,0.532860567829637,2,0.7714986476402562,9.975633572354823,2.2208948856583683,0.015539591247548543,15,21,134,COMPLETE
66,0.0,2025-07-01 20:15:41.841564,2025-07-01 20:15:42.035109,0 days 00:00:00.193545,0.47798834336039814,4,0.8355705778171738,0.8742452137676213,4.782715803547884,0.03979327596125047,7,15,241,COMPLETE
67,0.0,2025-07-01 20:15:42.036109,2025-07-01 20:15:42.217143,0 days 00:00:00.181034,0.40111034235758114,7,0.6829159715145041,2.869263950581588,7.77380634607888,0.010279355645218053,14,67,167,COMPLETE
68,0.0,2025-07-01 20:15:42.217143,2025-07-01 20:15:42.403076,0 days 00:00:00.185933,0.5545706652501821,1,0.46060769101638466,8.891173244477418,8.766863791726765,0.09730090926348017,6,8,201,COMPLETE
69,0.0,2025-07-01 20:15:42.403076,2025-07-01 20:15:42.576664,0 days 00:00:00.173588,0.43456883968744087,3,0.6330366235756706,7.792038064407645,9.473157086145102,0.06647890428280834,8,36,116,COMPLETE
70,0.0,2025-07-01 20:15:42.577671,2025-07-01 20:15:42.755160,0 days 00:00:00.177489,0.5062539191890955,5,0.7963940912977548,9.31016888049972,2.1017165310056787,0.02344019160201768,13,45,182,COMPLETE
71,0.0,2025-07-01 20:15:42.756160,2025-07-01 20:15:42.939600,0 days 00:00:00.183440,0.9148528736485902,1,0.4743334264373838,8.380776786410095,6.614730634683479,0.04634783282470217,6,100,136,COMPLETE
72,0.0,2025-07-01 20:15:42.939600,2025-07-01 20:15:43.115187,0 days 00:00:00.175587,0.7474206573337636,1,0.4985744344571702,7.757847199057451,1.42074904653264,0.08385288060187905,5,86,149,COMPLETE
73,0.0,2025-07-01 20:15:43.116187,2025-07-01 20:15:43.289660,0 days 00:00:00.173473,0.8128820129802427,2,0.4549340252653599,8.890676532115426,1.8237530964129256,0.06564385259487518,4,97,94,COMPLETE
74,0.0,2025-07-01 20:15:43.289660,2025-07-01 20:15:43.469603,0 days 00:00:00.179943,0.5265741026236676,2,0.5388792519089347,2.265396576661348,8.23065879732919,0.05989345129213702,6,18,118,COMPLETE
75,0.0,2025-07-01 20:15:43.470603,2025-07-01 20:15:43.644972,0 days 00:00:00.174369,0.6192435467809528,1,0.4325669014110066,9.627829155420185,7.498395465531225,0.07545121326757587,3,53,110,COMPLETE
76,0.0,2025-07-01 20:15:43.644972,2025-07-01 20:15:43.869618,0 days 00:00:00.224646,0.7838747089248017,2,0.6981012061921363,7.240517562204104,5.365362928461774,0.017793755299744723,10,11,129,COMPLETE
